"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","report_distname_number_propcase","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","distname_number_res_attend_prop","TRANSFERS_IN_OUT"
"2013-14",12,"Region XII Waco","Dew ISD (081906)",100,"Transfers In From",100,"Bryan ISD (021902)",-9999999
"2013-14",12,"Region XII Waco","Dew ISD (081906)",100,"Transfers In From",100,"Buffalo ISD (145901)",19
"2013-14",12,"Region XII Waco","Dew ISD (081906)",100,"Transfers In From",100,"Centerville ISD (145902)",-9999999
"2013-14",12,"Region XII Waco","Dew ISD (081906)",100,"Transfers In From",100,"Fairfield ISD (081902)",9
"2013-14",12,"Region XII Waco","Dew ISD (081906)",100,"Transfers In From",100,"Montgomery ISD (170903)",-9999999
"2013-14",12,"Region XII Waco","Dew ISD (081906)",100,"Transfers In From",100,"Oakwood ISD (145907)",-9999999
"2013-14",12,"Region XII Waco","Dew ISD (081906)",100,"Transfers In From",100,"Teague ISD (081904)",31
"2013-14",12,"Region XII Waco","Dew ISD (081906)",100,"Transfers In From",100,"Valley Mills ISD (018904)",-9999999
"2013-14",12,"Region XII Waco","Dew ISD (081906)",100,"Transfers In From",200,"","."
"2013-14",12,"Region XII Waco","Dew ISD (081906)",100,"Transfers In From",200,"Total Transfers In",-9999999
"2013-14",12,"Region XII Waco","Dew ISD (081906)",100,"Transfers In From",300,"","."
"2013-14",12,"Region XII Waco","Dew ISD (081906)",200,"Transfers Out To",100,"Buffalo ISD (145901)",-9999999
"2013-14",12,"Region XII Waco","Dew ISD (081906)",200,"Transfers Out To",100,"Fairfield ISD (081902)",26
"2013-14",12,"Region XII Waco","Dew ISD (081906)",200,"Transfers Out To",100,"Hico ISD (097903)",-9999999
"2013-14",12,"Region XII Waco","Dew ISD (081906)",200,"Transfers Out To",100,"Leon ISD (145911)",-9999999
"2013-14",12,"Region XII Waco","Dew ISD (081906)",200,"Transfers Out To",100,"Stephenville ISD (072903)",-9999999
"2013-14",12,"Region XII Waco","Dew ISD (081906)",200,"Transfers Out To",100,"Teague ISD (081904)",30
"2013-14",12,"Region XII Waco","Dew ISD (081906)",200,"Transfers Out To",200,"","."
"2013-14",12,"Region XII Waco","Dew ISD (081906)",200,"Transfers Out To",200,"Total Transfers Out",62
"2013-14",12,"Region XII Waco","Dew ISD (081906)",200,"Transfers Out To",300,"","."

