"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","report_distname_number_propcase","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","distname_number_res_attend_prop","TRANSFERS_IN_OUT"
"2013-14",09,"Region IX Wichita Falls","Prairie Valley ISD (169909)",100,"Transfers In From",100,"Gold Burg ISD (169906)",-9999999
"2013-14",09,"Region IX Wichita Falls","Prairie Valley ISD (169909)",100,"Transfers In From",100,"Montague ISD (169908)",-9999999
"2013-14",09,"Region IX Wichita Falls","Prairie Valley ISD (169909)",100,"Transfers In From",100,"Nocona ISD (169902)",91
"2013-14",09,"Region IX Wichita Falls","Prairie Valley ISD (169909)",100,"Transfers In From",200,"","."
"2013-14",09,"Region IX Wichita Falls","Prairie Valley ISD (169909)",100,"Transfers In From",200,"Total Transfers In",-9999999
"2013-14",09,"Region IX Wichita Falls","Prairie Valley ISD (169909)",100,"Transfers In From",300,"","."
"2013-14",09,"Region IX Wichita Falls","Prairie Valley ISD (169909)",200,"Transfers Out To",100,"Nocona ISD (169902)",26
"2013-14",09,"Region IX Wichita Falls","Prairie Valley ISD (169909)",200,"Transfers Out To",200,"","."
"2013-14",09,"Region IX Wichita Falls","Prairie Valley ISD (169909)",200,"Transfers Out To",200,"Total Transfers Out",26
"2013-14",09,"Region IX Wichita Falls","Prairie Valley ISD (169909)",200,"Transfers Out To",300,"","."

