"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","report_distname_number_propcase","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","distname_number_res_attend_prop","TRANSFERS_IN_OUT"
"2015-16",14,"Region XIV Abilene","Gustine ISD (047903)",100,"Transfers In From",100,"Comanche ISD (047901)",18
"2015-16",14,"Region XIV Abilene","Gustine ISD (047903)",100,"Transfers In From",100,"Dublin ISD (072902)",6
"2015-16",14,"Region XIV Abilene","Gustine ISD (047903)",100,"Transfers In From",100,"Hamilton ISD (097902)",-9999999
"2015-16",14,"Region XIV Abilene","Gustine ISD (047903)",100,"Transfers In From",100,"Priddy ISD (167904)",-9999999
"2015-16",14,"Region XIV Abilene","Gustine ISD (047903)",100,"Transfers In From",200,,"."
"2015-16",14,"Region XIV Abilene","Gustine ISD (047903)",100,"Transfers In From",200,"Total Transfers In",-9999999
"2015-16",14,"Region XIV Abilene","Gustine ISD (047903)",100,"Transfers In From",300,,"."
"2015-16",14,"Region XIV Abilene","Gustine ISD (047903)",200,"Transfers Out To",100,"Comanche ISD (047901)",17
"2015-16",14,"Region XIV Abilene","Gustine ISD (047903)",200,"Transfers Out To",100,"De Leon ISD (047902)",-9999999
"2015-16",14,"Region XIV Abilene","Gustine ISD (047903)",200,"Transfers Out To",100,"Dublin ISD (072902)",-9999999
"2015-16",14,"Region XIV Abilene","Gustine ISD (047903)",200,"Transfers Out To",100,"Early ISD (025909)",-9999999
"2015-16",14,"Region XIV Abilene","Gustine ISD (047903)",200,"Transfers Out To",100,"Hamilton ISD (097902)",-9999999
"2015-16",14,"Region XIV Abilene","Gustine ISD (047903)",200,"Transfers Out To",100,"Mullin ISD (167902)",-9999999
"2015-16",14,"Region XIV Abilene","Gustine ISD (047903)",200,"Transfers Out To",100,"Premier High Schools (072801)",-9999999
"2015-16",14,"Region XIV Abilene","Gustine ISD (047903)",200,"Transfers Out To",100,"Priddy ISD (167904)",-9999999
"2015-16",14,"Region XIV Abilene","Gustine ISD (047903)",200,"Transfers Out To",100,"Rising Star ISD (067908)",-9999999
"2015-16",14,"Region XIV Abilene","Gustine ISD (047903)",200,"Transfers Out To",200,,"."
"2015-16",14,"Region XIV Abilene","Gustine ISD (047903)",200,"Transfers Out To",200,"Total Transfers Out",32
"2015-16",14,"Region XIV Abilene","Gustine ISD (047903)",200,"Transfers Out To",300,,"."

