T E X A S  E D U C A T I O N  A G E N C Y

District Level Transfer Report

PEIMS Student Transfers Report

"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","REPORT_DISTNAME_NUMBER_PROPCASE","REPORT_CHARTER_STATUS","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","DISTNAME_NUMBER_RES_ATTEND_PROP","TRANSFERS_IN_OUT"
"2019-2020",08,"Region VIII Mt Pleasant","Mount Vernon ISD (080901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Mount Pleasant ISD (225902)",20
"2019-2020",08,"Region VIII Mt Pleasant","Mount Vernon ISD (080901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Paris ISD (139909)",-999
"2019-2020",08,"Region VIII Mt Pleasant","Mount Vernon ISD (080901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Pewitt CISD (172905)",-999
"2019-2020",08,"Region VIII Mt Pleasant","Mount Vernon ISD (080901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Pine Tree ISD (092904)",-999
"2019-2020",08,"Region VIII Mt Pleasant","Mount Vernon ISD (080901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Pittsburg ISD (032902)",-999
"2019-2020",08,"Region VIII Mt Pleasant","Mount Vernon ISD (080901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Rivercrest ISD (194903)",-999
"2019-2020",08,"Region VIII Mt Pleasant","Mount Vernon ISD (080901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Saltillo ISD (112909)",18
"2019-2020",08,"Region VIII Mt Pleasant","Mount Vernon ISD (080901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Sulphur Bluff ISD (112910)",12
"2019-2020",08,"Region VIII Mt Pleasant","Mount Vernon ISD (080901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Union Hill ISD (230904)",-999
"2019-2020",08,"Region VIII Mt Pleasant","Mount Vernon ISD (080901)","Traditional ISD/CSD",200,"Transfers Out To",100,"University Of Texas At Austin H S (227506)",-999
"2019-2020",08,"Region VIII Mt Pleasant","Mount Vernon ISD (080901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Winnsboro ISD (250907)",11
"2019-2020",08,"Region VIII Mt Pleasant","Mount Vernon ISD (080901)","Traditional ISD/CSD",200,"Transfers Out To",100,"Yantis ISD (250905)",-999
"2019-2020",08,"Region VIII Mt Pleasant","Mount Vernon ISD (080901)","Traditional ISD/CSD",200,"Transfers Out To",200,,
"2019-2020",08,"Region VIII Mt Pleasant","Mount Vernon ISD (080901)","Traditional ISD/CSD",200,"Transfers Out To",200,"Total Transfers Out",99
"2019-2020",08,"Region VIII Mt Pleasant","Mount Vernon ISD (080901)","Traditional ISD/CSD",200,"Transfers Out To",300,,

 -999 indicates counts or percentages are not available (i.e. masked) to comply with the Family Educational Rights and Privacy Act (FERPA).

Masked numbers are typically small although larger numbers may be masked to prevent imputation.

The REPORT_NUMBER column and the LINE_GROUP_NUMBER column are added to assist sorting and filtering of rows in the file.

