"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","report_distname_number_propcase","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","distname_number_res_attend_prop","TRANSFERS_IN_OUT"
"2013-14",10,"Region X Richardson","Collinsville ISD (091902)",100,"Transfers In From",100,"Aubrey ISD (061907)",-9999999
"2013-14",10,"Region X Richardson","Collinsville ISD (091902)",100,"Transfers In From",100,"Callisburg ISD (049905)",35
"2013-14",10,"Region X Richardson","Collinsville ISD (091902)",100,"Transfers In From",100,"Gainesville ISD (049901)",7
"2013-14",10,"Region X Richardson","Collinsville ISD (091902)",100,"Transfers In From",100,"Gunter ISD (091917)",-9999999
"2013-14",10,"Region X Richardson","Collinsville ISD (091902)",100,"Transfers In From",100,"Pilot Point ISD (061903)",-9999999
"2013-14",10,"Region X Richardson","Collinsville ISD (091902)",100,"Transfers In From",100,"Prosper ISD (043912)",-9999999
"2013-14",10,"Region X Richardson","Collinsville ISD (091902)",100,"Transfers In From",100,"S And S CISD (091914)",-9999999
"2013-14",10,"Region X Richardson","Collinsville ISD (091902)",100,"Transfers In From",100,"Sherman ISD (091906)",-9999999
"2013-14",10,"Region X Richardson","Collinsville ISD (091902)",100,"Transfers In From",100,"Tioga ISD (091907)",5
"2013-14",10,"Region X Richardson","Collinsville ISD (091902)",100,"Transfers In From",100,"Whitesboro ISD (091909)",6
"2013-14",10,"Region X Richardson","Collinsville ISD (091902)",100,"Transfers In From",200,"","."
"2013-14",10,"Region X Richardson","Collinsville ISD (091902)",100,"Transfers In From",200,"Total Transfers In",63
"2013-14",10,"Region X Richardson","Collinsville ISD (091902)",100,"Transfers In From",300,"","."
"2013-14",10,"Region X Richardson","Collinsville ISD (091902)",200,"Transfers Out To",100,"Aubrey ISD (061907)",-9999999
"2013-14",10,"Region X Richardson","Collinsville ISD (091902)",200,"Transfers Out To",100,"Callisburg ISD (049905)",-9999999
"2013-14",10,"Region X Richardson","Collinsville ISD (091902)",200,"Transfers Out To",100,"Denton ISD (061901)",-9999999
"2013-14",10,"Region X Richardson","Collinsville ISD (091902)",200,"Transfers Out To",100,"Gunter ISD (091917)",5
"2013-14",10,"Region X Richardson","Collinsville ISD (091902)",200,"Transfers Out To",100,"North Texas Collegiate Academy (061802)",-9999999
"2013-14",10,"Region X Richardson","Collinsville ISD (091902)",200,"Transfers Out To",100,"Pilot Point ISD (061903)",-9999999
"2013-14",10,"Region X Richardson","Collinsville ISD (091902)",200,"Transfers Out To",100,"S And S CISD (091914)",9
"2013-14",10,"Region X Richardson","Collinsville ISD (091902)",200,"Transfers Out To",100,"Sherman ISD (091906)",-9999999
"2013-14",10,"Region X Richardson","Collinsville ISD (091902)",200,"Transfers Out To",100,"Texas College Preparatory Academie (221801)",-9999999
"2013-14",10,"Region X Richardson","Collinsville ISD (091902)",200,"Transfers Out To",100,"Tioga ISD (091907)",23
"2013-14",10,"Region X Richardson","Collinsville ISD (091902)",200,"Transfers Out To",100,"Whitesboro ISD (091909)",21
"2013-14",10,"Region X Richardson","Collinsville ISD (091902)",200,"Transfers Out To",200,"","."
"2013-14",10,"Region X Richardson","Collinsville ISD (091902)",200,"Transfers Out To",200,"Total Transfers Out",75
"2013-14",10,"Region X Richardson","Collinsville ISD (091902)",200,"Transfers Out To",300,"","."

