"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","report_distname_number_propcase","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","distname_number_res_attend_prop","TRANSFERS_IN_OUT"
"2011-12",13,"Region XIII Austin","Johnson City ISD (016901)",100,"Transfers In From",100,"Dripping Springs ISD (105904)",-9999999
"2011-12",13,"Region XIII Austin","Johnson City ISD (016901)",100,"Transfers In From",200,"","."
"2011-12",13,"Region XIII Austin","Johnson City ISD (016901)",100,"Transfers In From",200,"Total Transfers In",-9999999
"2011-12",13,"Region XIII Austin","Johnson City ISD (016901)",100,"Transfers In From",300,"","."
"2011-12",13,"Region XIII Austin","Johnson City ISD (016901)",200,"Transfers Out To",100,"Blanco ISD (016902)",-9999999
"2011-12",13,"Region XIII Austin","Johnson City ISD (016901)",200,"Transfers Out To",100,"Dripping Springs ISD (105904)",7
"2011-12",13,"Region XIII Austin","Johnson City ISD (016901)",200,"Transfers Out To",100,"Eanes ISD (227909)",-9999999
"2011-12",13,"Region XIII Austin","Johnson City ISD (016901)",200,"Transfers Out To",100,"Fredericksburg ISD (086901)",5
"2011-12",13,"Region XIII Austin","Johnson City ISD (016901)",200,"Transfers Out To",100,"Katherine Anne Porter School (105801)",-9999999
"2011-12",13,"Region XIII Austin","Johnson City ISD (016901)",200,"Transfers Out To",100,"Lake Travis ISD (227913)",-9999999
"2011-12",13,"Region XIII Austin","Johnson City ISD (016901)",200,"Transfers Out To",100,"Llano ISD (150901)",-9999999
"2011-12",13,"Region XIII Austin","Johnson City ISD (016901)",200,"Transfers Out To",100,"Marble Falls ISD (027904)",26
"2011-12",13,"Region XIII Austin","Johnson City ISD (016901)",200,"Transfers Out To",100,"Premier High Schools (072801)",-9999999
"2011-12",13,"Region XIII Austin","Johnson City ISD (016901)",200,"Transfers Out To",100,"Texas College Preparatory Academie (221801)",-9999999
"2011-12",13,"Region XIII Austin","Johnson City ISD (016901)",200,"Transfers Out To",100,"Wimberley ISD (105905)",-9999999
"2011-12",13,"Region XIII Austin","Johnson City ISD (016901)",200,"Transfers Out To",200,"","."
"2011-12",13,"Region XIII Austin","Johnson City ISD (016901)",200,"Transfers Out To",200,"Total Transfers Out",55
"2011-12",13,"Region XIII Austin","Johnson City ISD (016901)",200,"Transfers Out To",300,"","."

