"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","report_distname_number_propcase","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","distname_number_res_attend_prop","TRANSFERS_IN_OUT"
"2011-12",08,"Region VIII Mt Pleasant","Avinger ISD (034902)",100,"Transfers In From",100,"Daingerfield-Lone Star ISD (172902)",-9999999
"2011-12",08,"Region VIII Mt Pleasant","Avinger ISD (034902)",100,"Transfers In From",100,"Gilmer ISD (230902)",-9999999
"2011-12",08,"Region VIII Mt Pleasant","Avinger ISD (034902)",100,"Transfers In From",100,"Hughes Springs ISD (034903)",-9999999
"2011-12",08,"Region VIII Mt Pleasant","Avinger ISD (034902)",100,"Transfers In From",100,"Jefferson ISD (155901)",23
"2011-12",08,"Region VIII Mt Pleasant","Avinger ISD (034902)",100,"Transfers In From",100,"Linden-Kildare CISD (034905)",-9999999
"2011-12",08,"Region VIII Mt Pleasant","Avinger ISD (034902)",100,"Transfers In From",200,"","."
"2011-12",08,"Region VIII Mt Pleasant","Avinger ISD (034902)",100,"Transfers In From",200,"Total Transfers In",29
"2011-12",08,"Region VIII Mt Pleasant","Avinger ISD (034902)",100,"Transfers In From",300,"","."
"2011-12",08,"Region VIII Mt Pleasant","Avinger ISD (034902)",200,"Transfers Out To",100,"Daingerfield-Lone Star ISD (172902)",-9999999
"2011-12",08,"Region VIII Mt Pleasant","Avinger ISD (034902)",200,"Transfers Out To",100,"Hughes Springs ISD (034903)",31
"2011-12",08,"Region VIII Mt Pleasant","Avinger ISD (034902)",200,"Transfers Out To",100,"Jefferson ISD (155901)",-9999999
"2011-12",08,"Region VIII Mt Pleasant","Avinger ISD (034902)",200,"Transfers Out To",100,"Linden-Kildare CISD (034905)",-9999999
"2011-12",08,"Region VIII Mt Pleasant","Avinger ISD (034902)",200,"Transfers Out To",200,"","."
"2011-12",08,"Region VIII Mt Pleasant","Avinger ISD (034902)",200,"Transfers Out To",200,"Total Transfers Out",-9999999
"2011-12",08,"Region VIII Mt Pleasant","Avinger ISD (034902)",200,"Transfers Out To",300,"","."

