"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","report_distname_number_propcase","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","distname_number_res_attend_prop","TRANSFERS_IN_OUT"
"2013-14",03,"Region III Victoria","Westhoff ISD (062905)",100,"Transfers In From",100,"Cuero ISD (062901)",25
"2013-14",03,"Region III Victoria","Westhoff ISD (062905)",100,"Transfers In From",100,"Nixon-Smiley CISD (089903)",5
"2013-14",03,"Region III Victoria","Westhoff ISD (062905)",100,"Transfers In From",100,"Yorktown ISD (062904)",8
"2013-14",03,"Region III Victoria","Westhoff ISD (062905)",100,"Transfers In From",200,"","."
"2013-14",03,"Region III Victoria","Westhoff ISD (062905)",100,"Transfers In From",200,"Total Transfers In",38
"2013-14",03,"Region III Victoria","Westhoff ISD (062905)",100,"Transfers In From",300,"","."
"2013-14",03,"Region III Victoria","Westhoff ISD (062905)",200,"Transfers Out To",100,"Cuero ISD (062901)",31
"2013-14",03,"Region III Victoria","Westhoff ISD (062905)",200,"Transfers Out To",100,"Yorktown ISD (062904)",-9999999
"2013-14",03,"Region III Victoria","Westhoff ISD (062905)",200,"Transfers Out To",200,"","."
"2013-14",03,"Region III Victoria","Westhoff ISD (062905)",200,"Transfers Out To",200,"Total Transfers Out",-9999999
"2013-14",03,"Region III Victoria","Westhoff ISD (062905)",200,"Transfers Out To",300,"","."

