"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","report_distname_number_propcase","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","distname_number_res_attend_prop","TRANSFERS_IN_OUT"
"2014-15",15,"Region XV San Angelo","Mason ISD (157901)",100,"Transfers In From",100,"Brady ISD (160901)",8
"2014-15",15,"Region XV San Angelo","Mason ISD (157901)",100,"Transfers In From",100,"Junction ISD (134901)",5
"2014-15",15,"Region XV San Angelo","Mason ISD (157901)",100,"Transfers In From",200,"","."
"2014-15",15,"Region XV San Angelo","Mason ISD (157901)",100,"Transfers In From",200,"Total Transfers In",13
"2014-15",15,"Region XV San Angelo","Mason ISD (157901)",100,"Transfers In From",300,"","."
"2014-15",15,"Region XV San Angelo","Mason ISD (157901)",200,"Transfers Out To",100,"Brady ISD (160901)",6
"2014-15",15,"Region XV San Angelo","Mason ISD (157901)",200,"Transfers Out To",200,"","."
"2014-15",15,"Region XV San Angelo","Mason ISD (157901)",200,"Transfers Out To",200,"Total Transfers Out",6
"2014-15",15,"Region XV San Angelo","Mason ISD (157901)",200,"Transfers Out To",300,"","."

