"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","report_distname_number_propcase","REPORT_CHARTER_STATUS","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","distname_number_res_attend_prop","TRANSFERS_IN_OUT"
"2017-2018",01,"Region I Edinburg","Raymondville ISD (245903)","Traditional ISD/CSD",100,"Transfers In From",100,"Brownsville ISD (031901)",-999
"2017-2018",01,"Region I Edinburg","Raymondville ISD (245903)","Traditional ISD/CSD",100,"Transfers In From",100,"Harlingen CISD (031903)",-999
"2017-2018",01,"Region I Edinburg","Raymondville ISD (245903)","Traditional ISD/CSD",100,"Transfers In From",100,"Kenedy County Wide CSD (131001)",-999
"2017-2018",01,"Region I Edinburg","Raymondville ISD (245903)","Traditional ISD/CSD",100,"Transfers In From",100,"La Feria ISD (031905)",-999
"2017-2018",01,"Region I Edinburg","Raymondville ISD (245903)","Traditional ISD/CSD",100,"Transfers In From",100,"Lasara ISD (245901)",10
"2017-2018",01,"Region I Edinburg","Raymondville ISD (245903)","Traditional ISD/CSD",100,"Transfers In From",100,"Lyford CISD (245902)",18
"2017-2018",01,"Region I Edinburg","Raymondville ISD (245903)","Traditional ISD/CSD",100,"Transfers In From",100,"Mercedes ISD (108907)",-999
"2017-2018",01,"Region I Edinburg","Raymondville ISD (245903)","Traditional ISD/CSD",100,"Transfers In From",100,"Monte Alto ISD (108915)",-999
"2017-2018",01,"Region I Edinburg","Raymondville ISD (245903)","Traditional ISD/CSD",100,"Transfers In From",100,"San Perlita ISD (245904)",-999
"2017-2018",01,"Region I Edinburg","Raymondville ISD (245903)","Traditional ISD/CSD",100,"Transfers In From",100,"Santa Rosa ISD (031914)",-999
"2017-2018",01,"Region I Edinburg","Raymondville ISD (245903)","Traditional ISD/CSD",100,"Transfers In From",200,,"."
"2017-2018",01,"Region I Edinburg","Raymondville ISD (245903)","Traditional ISD/CSD",100,"Transfers In From",200,"Total Transfers In",51
"2017-2018",01,"Region I Edinburg","Raymondville ISD (245903)","Traditional ISD/CSD",100,"Transfers In From",300,,"."
"2017-2018",01,"Region I Edinburg","Raymondville ISD (245903)","Traditional ISD/CSD",200,"Transfers Out To",100,"Harlingen CISD (031903)",13
"2017-2018",01,"Region I Edinburg","Raymondville ISD (245903)","Traditional ISD/CSD",200,"Transfers Out To",100,"Idea Public Schools (108807)",-999
"2017-2018",01,"Region I Edinburg","Raymondville ISD (245903)","Traditional ISD/CSD",200,"Transfers Out To",100,"La Feria ISD (031905)",-999
"2017-2018",01,"Region I Edinburg","Raymondville ISD (245903)","Traditional ISD/CSD",200,"Transfers Out To",100,"Lasara ISD (245901)",66
"2017-2018",01,"Region I Edinburg","Raymondville ISD (245903)","Traditional ISD/CSD",200,"Transfers Out To",100,"Lyford CISD (245902)",140
"2017-2018",01,"Region I Edinburg","Raymondville ISD (245903)","Traditional ISD/CSD",200,"Transfers Out To",100,"McAllen ISD (108906)",-999
"2017-2018",01,"Region I Edinburg","Raymondville ISD (245903)","Traditional ISD/CSD",200,"Transfers Out To",100,"San Benito CISD (031912)",-999
"2017-2018",01,"Region I Edinburg","Raymondville ISD (245903)","Traditional ISD/CSD",200,"Transfers Out To",100,"San Perlita ISD (245904)",31
"2017-2018",01,"Region I Edinburg","Raymondville ISD (245903)","Traditional ISD/CSD",200,"Transfers Out To",100,"Texas College Preparatory Academie (221801)",-999
"2017-2018",01,"Region I Edinburg","Raymondville ISD (245903)","Traditional ISD/CSD",200,"Transfers Out To",100,"Weslaco ISD (108913)",-999
"2017-2018",01,"Region I Edinburg","Raymondville ISD (245903)","Traditional ISD/CSD",200,"Transfers Out To",200,,"."
"2017-2018",01,"Region I Edinburg","Raymondville ISD (245903)","Traditional ISD/CSD",200,"Transfers Out To",200,"Total Transfers Out",261
"2017-2018",01,"Region I Edinburg","Raymondville ISD (245903)","Traditional ISD/CSD",200,"Transfers Out To",300,,"."

