"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","report_distname_number_propcase","REPORT_CHARTER_STATUS","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","distname_number_res_attend_prop","TRANSFERS_IN_OUT"
"2017-2018",01,"Region I Edinburg","Roma ISD (214903)","Traditional ISD/CSD",100,"Transfers In From",100,"Rio Grande City CISD (214901)",20
"2017-2018",01,"Region I Edinburg","Roma ISD (214903)","Traditional ISD/CSD",100,"Transfers In From",200,,"."
"2017-2018",01,"Region I Edinburg","Roma ISD (214903)","Traditional ISD/CSD",100,"Transfers In From",200,"Total Transfers In",20
"2017-2018",01,"Region I Edinburg","Roma ISD (214903)","Traditional ISD/CSD",100,"Transfers In From",300,,"."
"2017-2018",01,"Region I Edinburg","Roma ISD (214903)","Traditional ISD/CSD",200,"Transfers Out To",100,"Corpus Christi ISD (178904)",-999
"2017-2018",01,"Region I Edinburg","Roma ISD (214903)","Traditional ISD/CSD",200,"Transfers Out To",100,"Idea Public Schools (108807)",128
"2017-2018",01,"Region I Edinburg","Roma ISD (214903)","Traditional ISD/CSD",200,"Transfers Out To",100,"La Joya ISD (108912)",-999
"2017-2018",01,"Region I Edinburg","Roma ISD (214903)","Traditional ISD/CSD",200,"Transfers Out To",100,"McAllen ISD (108906)",-999
"2017-2018",01,"Region I Edinburg","Roma ISD (214903)","Traditional ISD/CSD",200,"Transfers Out To",100,"Mission CISD (108908)",-999
"2017-2018",01,"Region I Edinburg","Roma ISD (214903)","Traditional ISD/CSD",200,"Transfers Out To",100,"Premier High Schools (072801)",-999
"2017-2018",01,"Region I Edinburg","Roma ISD (214903)","Traditional ISD/CSD",200,"Transfers Out To",100,"San Isidro ISD (214902)",10
"2017-2018",01,"Region I Edinburg","Roma ISD (214903)","Traditional ISD/CSD",200,"Transfers Out To",100,"Valley View ISD (108916)",-999
"2017-2018",01,"Region I Edinburg","Roma ISD (214903)","Traditional ISD/CSD",200,"Transfers Out To",100,"Victoria ISD (235902)",-999
"2017-2018",01,"Region I Edinburg","Roma ISD (214903)","Traditional ISD/CSD",200,"Transfers Out To",200,,"."
"2017-2018",01,"Region I Edinburg","Roma ISD (214903)","Traditional ISD/CSD",200,"Transfers Out To",200,"Total Transfers Out",149
"2017-2018",01,"Region I Edinburg","Roma ISD (214903)","Traditional ISD/CSD",200,"Transfers Out To",300,,"."

